"Track","RaceNumber","HorsesRunning"
"BEL","2","9"
"BEL","3","10"
"BEL","5","9"
"BEL","8","15"
"GP","1","9"
"GP","4","9"
"GP","6","9"
"GP","9","16"
"KEE","1","11"
"KEE","6","16"
"KEE","7","14"
"KEE","8","9"
"KEE","9","10"
"LS","1","10"
"LS","2","10"
"LS","4","10"
"LS","6","10"
"LS","7","11"
"LS","9","12"
"OP","9","10"
"PIM","3","9"
"PIM","5","10"
"PIM","6","11"
"PIM","7","9"
"PIM","9","11"
"RP","1","10"
"RP","2","10"
"RP","3","10"
"RP","5","10"
"RP","6","10"
"RP","7","10"
"RP","8","10"
"RP","9","10"
"RP","10","10"
"RP","11","10"
"RP","12","10"
"TUP","5","9"
"TUP","6","12"
"TUP","7","9"
"TUP","8","9"
