"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds"
"2020-06-10","ARP","1","Dirt","El Oh El"," 1 ","1","7-2"
"2020-06-10","ARP","1","Dirt","Toshi Yoshi"," 2 ","2","5-1"
"2020-06-10","ARP","1","Dirt","Could Be Hotter"," 3 ","3","12-1"
"2020-06-10","ARP","1","Dirt","Wonce in a Blue Moon"," 4 ","4","6-1"
"2020-06-10","ARP","1","Dirt","L Bar D Classic Trip"," 5 ","5","8-1"
"2020-06-10","ARP","1","Dirt","Long Wagon Ho"," 6 ","6","9-2"
"2020-06-10","ARP","1","Dirt","Sweet Twisted Tea"," 7 ","7","15-1"
"2020-06-10","ARP","1","Dirt","Only Business"," 8 ","8","12-1"
"2020-06-10","ARP","1","Dirt","Ganster Americano"," 9 ","9","5-2"
"2020-06-10","ARP","1","Dirt","Faster Than Hasta","10 ","10","6-1"
"2020-06-10","ARP","2","Dirt","One Simple Rule"," 1 ","1","15-1"
"2020-06-10","ARP","2","Dirt","Rate the Republic"," 2 ","2","20-1"
"2020-06-10","ARP","2","Dirt","My Meadow"," 3 ","3","6-1"
"2020-06-10","ARP","2","Dirt","Happy Margarita"," 4 ","4","9-2"
"2020-06-10","ARP","2","Dirt","My Expression"," 5 ","5","7-2"
"2020-06-10","ARP","2","Dirt","Amour"," 6 ","6","4-1"
"2020-06-10","ARP","2","Dirt","Innocent Storm"," 7 ","7","5-2"
"2020-06-10","ARP","2","Dirt","Attitude Ajustment"," 8 ","8","8-1"
"2020-06-10","ARP","2","Dirt","Pearl Ofthe Harbor"," 9 ","9","15-1"
"2020-06-10","ARP","2","Dirt","Fianna Hills","10 ","10","10-1"
"2020-06-10","ARP","2","Dirt","Tanager","11 ","11","2-1"
"2020-06-10","ARP","2","Dirt","Chapis","12 ","12","12-1"
"2020-06-10","ARP","2","Dirt","Franki D Oro","13 ","13","20-1"
"2020-06-10","ARP","2","Dirt","Tiz de Lovely","14 ","14","15-1"
"2020-06-10","ARP","2","Dirt","Sleigh Ride","15 ","15","10-1"
"2020-06-10","ARP","2","Dirt","American Raisa","16 ","16","10-1"
"2020-06-10","ARP","3","Dirt","Excessive Kid"," 1 ","1","7-2"
"2020-06-10","ARP","3","Dirt","Miner's Notion"," 2 ","2","8-1"
"2020-06-10","ARP","3","Dirt","Jimbo's Biz"," 3 ","3","9-2"
"2020-06-10","ARP","3","Dirt","Hyper Drive"," 4 ","4","6-1"
"2020-06-10","ARP","3","Dirt","Teton"," 5 ","5","15-1"
"2020-06-10","ARP","3","Dirt","Beirut"," 6 ","6","12-1"
"2020-06-10","ARP","3","Dirt","Xavier Davey"," 7 ","7","6-1"
"2020-06-10","ARP","3","Dirt","Picadilly Roadster"," 8 ","8","10-1"
"2020-06-10","ARP","3","Dirt","Port Aggregate"," 9 ","9","15-1"
"2020-06-10","ARP","3","Dirt","Mayhawk","10 ","10","8-1"
"2020-06-10","ARP","3","Dirt","Superstyle","11 ","11","12-1"
"2020-06-10","ARP","4","Dirt","Talk Big Money"," 1 ","1","5-2"
"2020-06-10","ARP","4","Dirt","Grandpa's Ranger"," 2 ","2","8-1"
"2020-06-10","ARP","4","Dirt","Saddle in Commando"," 3 ","3","20-1"
"2020-06-10","ARP","4","Dirt","Maggies Patroit"," 4 ","4","6-1"
"2020-06-10","ARP","4","Dirt","Big Larry"," 5 ","5","7-2"
"2020-06-10","ARP","4","Dirt","Smokin With Apollo"," 6 ","6","4-1"
"2020-06-10","ARP","4","Dirt","Adaptation"," 7 ","7","10-1"
"2020-06-10","ARP","4","Dirt","Full of Gold"," 8 ","8","12-1"
"2020-06-10","ARP","4","Dirt","Ez Ez Ez"," 9 ","9","12-1"
"2020-06-10","ARP","4","Dirt","Dreaming Type","10 ","10","10-1"
"2020-06-10","ARP","4","Dirt","Ordained Cat","11 ","11","9-2"
"2020-06-10","ARP","4","Dirt","You Got the Look","12 ","12","6-1"
"2020-06-10","ARP","5","Dirt","Zibo"," 1 ","1","8-1"
"2020-06-10","ARP","5","Dirt","Fran's Empire"," 2 ","2","6-1"
"2020-06-10","ARP","5","Dirt","Neon Light"," 3 ","3","5-2"
"2020-06-10","ARP","5","Dirt","Bess Ever"," 4 ","4","10-1"
"2020-06-10","ARP","5","Dirt","Sweet Poison"," 5 ","5","8-1"
"2020-06-10","ARP","5","Dirt","Deltary"," 6 ","6","7-2"
"2020-06-10","ARP","5","Dirt","Lil Jessie"," 7 ","7","5-1"
"2020-06-10","ARP","5","Dirt","Star in Heaven"," 8 ","8","10-1"
"2020-06-10","ARP","5","Dirt","Pastoral"," 9 ","9","20-1"
"2020-06-10","ARP","5","Dirt","Lady Elsa","10 ","10","9-2"
"2020-06-10","ARP","5","Dirt","Ambers Storm","11 ","11","12-1"
"2020-06-10","ARP","5","Dirt","Gradioactive","12 ","12","15-1"
"2020-06-10","ARP","5","Dirt","Listen Sister","13 ","13","10-1"
"2020-06-10","ARP","5","Dirt","Non Disclosure","14 ","14","15-1"
"2020-06-10","ARP","5","Dirt","Sizzling Grace","15 ","15","10-1"
"2020-06-10","ARP","5","Dirt","Sierra Summer","16 ","16","8-1"
"2020-06-10","ARP","6","Dirt","He's Munnie"," 1 ","1","8-1"
"2020-06-10","ARP","6","Dirt","Way Out West"," 2 ","2","15-1"
"2020-06-10","ARP","6","Dirt","Et Tu Brutae"," 3 ","3","10-1"
"2020-06-10","ARP","6","Dirt","Parlay Ponti"," 4 ","4","15-1"
"2020-06-10","ARP","6","Dirt","Dream Baby Dream"," 5 ","5","9-2"
"2020-06-10","ARP","6","Dirt","Raofthesun"," 6 ","6","6-1"
"2020-06-10","ARP","6","Dirt","Dewey"," 7 ","7","9-2"
