"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-03-09","DED","MAIDEN CLAIMING($10,000) ","1","Kim's Parrain","12-1"," 9 ","9","FTL","Matzoh Toga"
"2021-03-09","DED","MAIDEN CLAIMING($10,000) ","1","Flashy Sassy","12-1","11 ","11","FTL","Songandaprayer"
"2021-03-09","DED","MAIDEN SPECIAL WEIGHT ","5","Greatest Love","3-1"," 1 ","1","FTL","Speightster"
"2021-03-09","LAD","MAIDEN CLAIMING($5,000) ","1","Tac a Run","15-1"," 1 ","1","FTL","Igotyourtac"
"2021-03-09","LAD","MAIDEN CLAIMING($5,000) ","5","Cw Quick Bride","15-1"," 3 ","3","FTL","Hez Fast as Cash"
"2021-03-09","LAD","MAIDEN CLAIMING($5,000) ","5","Jess an Achievement","20-1"," 9 ","9","FTL","Jess Oughta Be"
"2021-03-09","MVR","MAIDEN SPECIAL WEIGHT ","3","Pharaonic Princess","5-2"," 3 ","3","FTL","American Pharoah"
"2021-03-09","MVR","MAIDEN SPECIAL WEIGHT ","3","Saucy Cat","15-1"," 9 ","9","FTL","Street Sense"
"2021-03-09","MVR","MAIDEN SPECIAL WEIGHT ","4","Tivis","7-2"," 3 ","3","FTL","Tale of Ekati"
"2021-03-09","MVR","MAIDEN SPECIAL WEIGHT ","4","Elusive Sylvie","4-1"," 4 ","4","FTL","Elusive Hour"
"2021-03-09","PRX","MAIDEN CLAIMING($10,000) ","1","Go Skippy Go","20-1"," 4 ","4","FTL","Fury Kapcori"
"2021-03-09","PRX","MAIDEN CLAIMING($10,000) ","4","Fashion Nova","10-1"," 5 ","5","FTL","Fort Larned"
"2021-03-09","RP","MAIDEN CLAIMING($6,250) ","1","Thirteen Folds","10-1"," 1 ","1","FTL","Highest Fire"
"2021-03-09","RP","MAIDEN CLAIMING($6,250) ","1","Tf High Kickin Gal","5-1"," 3 ","3","FTL","Highest Fire"
"2021-03-09","RP","MAIDEN CLAIMING($6,250) ","1","Dr Emilio","2-1"," 6 ","6","FTL","Lota Pyc"
"2021-03-09","RP","MAIDEN ","2","Valerity","2-1"," 1 ","1","FTL","Volcom"
"2021-03-09","RP","MAIDEN ","2","Im a Fancee Chik","5-1"," 2 ","2","FTL","Im a Fancy Pyc"
"2021-03-09","RP","MAIDEN ","2","Villalon","7-2"," 3 ","3","FTL","Im a Fancy Pyc"
"2021-03-09","RP","MAIDEN ","2","Im Shore Fancy","10-1"," 4 ","4","FTL","Im a Fancy Pyc"
"2021-03-09","RP","MAIDEN ","2","Saranndipity","6-1"," 5 ","5","FTL","Fdd Going Grand"
"2021-03-09","RP","MAIDEN ","2","Principal Carter","10-1"," 6 ","6","FTL","Carters Cartel"
"2021-03-09","RP","MAIDEN ","2","Lil Heza Dash","15-1"," 7 ","7","FTL","Heza Fast Dash"
"2021-03-09","RP","MAIDEN ","2","Quasiluna","20-1"," 8 ","8","FTL","Carters Cartel"
"2021-03-09","RP","MAIDEN ","2","Klassy Oak","8-1"," 9 ","9","FTL","Capo de Capi"
"2021-03-09","TUP","MAIDEN CLAIMING($16,000) ","1","Aunt Ruthie","3-1"," 1 ","1","FTL","Square Eddie"
"2021-03-09","TUP","MAIDEN CLAIMING($7,500) ","6","Big Whiskey","10-1"," 8 ","8","FTL","Indian Firewater"
